Station,Latitude,Longitude,geometry
1001099999,70٫9333333,-8٫6666667,POINT (-8.6666667 70.9333333)
1001499999,59٫791925,5٫34085,POINT (5.34085 59.791925)
10018099999,54٫91325,8٫340472,POINT (8.340472 54.91325)
1003099999,77,15٫5,POINT (15.5 77)
10033099999,54٫8333333,9٫5,POINT (9.5 54.8333333)
10037099999,54٫459333,9٫516333,POINT (9.516333 54.459333)
10038099999,54٫312167,9٫538167,POINT (9.538167 54.312167)
10046599999,54٫3795,10٫145167,POINT (10.145167 54.3795)
1007099999,78٫9166666,11٫9333333,POINT (11.9333333 78.9166666)
1008099999,78٫246111,15٫465556,POINT (15.465556 78.246111)
1010099999,69٫2925,16٫144167,POINT (16.144167 69.2925)
10126099999,53٫547833,7٫667333,POINT (7.667333 53.547833)
10136099999,53٫767667,8٫6585,POINT (8.6585 53.767667)
10149099999,53٫535886,9٫837025,POINT (9.837025 53.535886)
1015099999,69٫6,17٫8333333,POINT (17.8333333 69.6)
10162499999,53٫426997,11٫783436,POINT (11.783436 53.426997)
10172099999,53٫918167,12٫278333,POINT (12.278333 53.918167)
10193599999,53٫878706,14٫152347,POINT (14.152347 53.878706)
1023099999,69٫055758,18٫540356,POINT (18.540356 69.055758)
10246099999,52٫919406,10٫197528,POINT (10.197528 52.919406)
1025099999,69٫683333,18٫918919,POINT (18.918919 69.683333)
1026099999,69٫65,18٫9333333,POINT (18.9333333 69.65)
1028099999,74٫5166667,19٫0166667,POINT (19.0166667 74.5166667)
10304099999,52٫7166667,7٫3166667,POINT (7.3166667 52.7166667)
10321099999,52٫585514,8٫341014,POINT (8.341014 52.585514)
1033099999,70٫25,19٫5,POINT (19.5 70.25)
10334099999,52٫457333,9٫427167,POINT (9.427167 52.457333)
10335099999,52٫2785,9٫082167,POINT (9.082167 52.2785)
10343099999,52٫5912,10٫022133,POINT (10.022133 52.5912)
10416099999,51٫518314,7٫612242,POINT (7.612242 51.518314)
10426099999,51٫614089,8٫616317,POINT (8.616317 51.614089)
10436099999,51٫408394,9٫377631,POINT (9.377631 51.408394)
10437499999,51٫230356,6٫504494,POINT (6.504494 51.230356)
10439099999,51٫1145,9٫285833,POINT (9.285833 51.1145)
1046099999,69٫786839,20٫959444,POINT (20.959444 69.786839)
1047099999,69٫0166667,23٫0666667,POINT (23.0666667 69.0166667)
10476099999,51٫767833,13٫167667,POINT (13.167667 51.767833)
1049099999,69٫976111,23٫371667,POINT (23.371667 69.976111)
10500099999,50٫960817,6٫042422,POINT (6.042422 50.960817)
10502099999,50٫831167,6٫658167,POINT (6.658167 50.831167)
1052099999,70٫6833333,23٫6833333,POINT (23.6833333 70.6833333)
1055099999,71٫1,23٫9833333,POINT (23.9833333 71.1)
10553699999,50٫981817,12٫506361,POINT (12.506361 50.981817)
1059099999,70٫068814,24٫973489,POINT (24.973489 70.068814)
10607099999,49٫972667,6٫6925,POINT (6.6925 49.972667)
10613099999,50٫173833,7٫063333,POINT (7.063333 50.173833)
10614099999,49٫436911,7٫600283,POINT (7.600283 49.436911)
10616099999,49٫948672,7٫263892,POINT (7.263892 49.948672)
1062099999,76٫5,25٫0666667,POINT (25.0666667 76.5)
10633099999,50٫049819,8٫325397,POINT (8.325397 50.049819)
1068099999,71٫0166667,25٫9833333,POINT (25.9833333 71.0166667)
10687099999,49٫698686,11٫940175,POINT (11.940175 49.698686)
10727599999,48٫779353,8٫0805,POINT (8.0805 48.779353)
1074099999,71٫0333333,27٫8333333,POINT (27.8333333 71.0333333)
10743099999,49٫391833,9٫958167,POINT (9.958167 49.391833)
10752099999,49٫473817,10٫387831,POINT (10.387831 49.473817)
10755099999,49٫308219,10٫638717,POINT (10.638717 49.308219)
10775099999,49٫218056,11٫836111,POINT (11.836111 49.218056)
1078099999,71٫1,28٫2333333,POINT (28.2333333 71.1)
10805099999,48٫36925,7٫827722,POINT (7.827722 48.36925)
1083099999,70٫8666667,29٫0333333,POINT (29.0333333 70.8666667)
10837099999,48٫220297,9٫910019,POINT (9.910019 48.220297)
10853099999,48٫711,11٫2115,POINT (11.2115 48.711)
10856099999,48٫1855,10٫861167,POINT (10.861167 48.1855)
10860099999,48٫715667,11٫534,POINT (11.534 48.715667)
10864499999,48٫081364,11٫283067,POINT (11.283067 48.081364)
10866099999,48٫353783,11٫786086,POINT (11.786086 48.353783)
1088099999,70٫0666667,29٫85,POINT (29.85 70.0666667)
1089099999,69٫725611,29٫893011,POINT (29.893011 69.725611)
1092099999,70٫7,30٫0833333,POINT (30.0833333 70.7)
10935099999,47٫671317,9٫511486,POINT (9.511486 47.671317)
10954099999,47٫8333333,10٫8666667,POINT (10.8666667 47.8333333)
1098099999,70٫3666666,31٫1,POINT (31.1 70.3666666)
11001099999,48٫1,13٫6666666,POINT (13.6666666 48.1)
11008099999,48٫5666666,14,POINT (14 48.5666666)
11010099999,48٫233219,14٫187511,POINT (14.187511 48.233219)
11012099999,48٫05,14٫1333333,POINT (14.1333333 48.05)
11018099999,48٫1,14٫9,POINT (14.9 48.1)
11020099999,48٫6166666,15٫2,POINT (15.2 48.6166666)
1102099999,65٫2,11,POINT (11 65.2)
11021099999,48٫95,15٫0333333,POINT (15.0333333 48.95)
11022099999,48٫7666666,15٫95,POINT (15.95 48.7666666)
11024099999,48٫3333333,15٫3333333,POINT (15.3333333 48.3333333)
1102599999,65٫3333333,7٫3166667,POINT (7.3166667 65.3333333)
11030099999,48٫321083,16٫11186,POINT (16.11186 48.321083)
11032099999,48٫6666666,16٫6333333,POINT (16.6333333 48.6666666)
11034099999,48٫2,16٫3666666,POINT (16.3666666 48.2)
11035099999,48٫25,16٫3666666,POINT (16.3666666 48.25)
11036099999,48٫110278,16٫569722,POINT (16.569722 48.110278)
11051099999,48٫2166666,13٫0333333,POINT (13.0333333 48.2166666)
11055099999,48٫4666666,13٫4333333,POINT (13.4333333 48.4666666)
11060099999,48٫3,14٫2833333,POINT (14.2833333 48.3)
